feature,brivo_mean,revolution_mean,scanner_offset,abs_offset
sharpness_mean,1613.9828959408387,1904.3249747953264,-290.3420788544877,290.3420788544877
sharpness_max,2033.2163166046146,2300.237933028367,-267.02161642375245,267.02161642375245
hu_std_max,137.82497213944296,312.8738884448536,-175.04891630541064,175.04891630541064
hu_p10_mean,5.597435350951976,-123.28148148148148,128.87891683243345,128.87891683243345
hu_std_mean,25.461379842622392,95.83861073747383,-70.37723089485144,70.37723089485144
hu_mean_mean,28.856999353179006,-3.1241117487890646,31.98111110196807,31.98111110196807
hu_p25_mean,25.25330349531117,8.203703703703704,17.049599791607463,17.049599791607463
hist_iqr_max,48.766666666666644,63.89999999999999,-15.133333333333347,15.133333333333347
hist_iqr_mean,15.951797385620914,29.481481481481488,-13.529684095860574,13.529684095860574
hu_mean_max,43.28195154010052,33.69240392678764,9.589547613312881,9.589547613312881
hu_p10_max,31.899999999999995,23.35,8.549999999999994,8.549999999999994
hu_p25_max,37.800000000000004,30.049999999999997,7.750000000000007,7.750000000000007
hist_peak_hu_max,50.8203125,57.03125,-6.2109375,6.2109375
hu_kurtosis_mean,25.313873151289,31.288934852703058,-5.9750617014140595,5.9750617014140595
hu_p90_mean,47.11152315998866,42.574074074074076,4.537449085914581,4.537449085914581
glcm_contrast_max,10.1495398095868,14.330702267668588,-4.181162458081788,4.181162458081788
hu_kurtosis_max,104.23151877969411,100.59846119455,3.6330575851441154,3.6330575851441154
hu_p75_mean,41.205100880932086,37.68518518518518,3.519915695746903,3.519915695746903
glcm_contrast_mean,5.035426159778323,7.797601523002882,-2.762175363224559,2.762175363224559
hu_p90_max,63.65,62.05,1.6000000000000014,1.6000000000000014
hu_skewness_mean,-1.365320305362274,-2.7432756040883723,1.3779552987260983,1.3779552987260983
noise_estimate_max,19.419674491882322,18.205416679382324,1.2142578124999979,1.2142578124999979
noise_estimate_mean,17.860124126250312,17.113187542668093,0.7469365835822188,0.7469365835822188
hist_peak_hu_mean,35.87780730498721,35.329861111111114,0.5479461938760934,0.5479461938760934
hu_skewness_max,0.5513964995412229,0.9553335888099972,-0.40393708926877425,0.40393708926877425
hu_p75_max,55.4,55.7,-0.30000000000000426,0.30000000000000426
hist_entropy_max,3.973767667465914,3.717569096931712,0.25619857053420203,0.25619857053420203
glcm_dissimilarity_max,0.482812861833868,0.7207180905236468,-0.23790522868977876,0.23790522868977876
glcm_dissimilarity_mean,0.363982862179304,0.5257788684828122,-0.1617960063035082,0.1617960063035082
hist_entropy_mean,2.8165493684924248,2.733770158946732,0.08277920954569273,0.08277920954569273
air_fraction_max,0.011595342734935767,0.08582339814462166,-0.07422805540968588,0.07422805540968588
glcm_asm_mean,0.730959680223192,0.6626324298984083,0.0683272503247837,0.0683272503247837
glcm_energy_mean,0.8526306703249943,0.8101531917773113,0.04247747854768302,0.04247747854768302
brain_fraction_mean,0.8633890156117802,0.8232381911412763,0.04015082447050389,0.04015082447050389
hist_energy_max,0.1185438950844277,0.1473044041203666,-0.028760509035938908,0.028760509035938908
glcm_homogeneity_mean,0.9153394883972354,0.8886791075106437,0.026660380886591728,0.026660380886591728
glcm_asm_max,0.9053478167117284,0.8842260609737442,0.021121755737984138,0.021121755737984138
hist_energy_mean,0.08488877550097285,0.1051340142402091,-0.020245238739236254,0.020245238739236254
csf_fraction_max,0.12319116195807263,0.10459429808418175,0.01859686387389088,0.01859686387389088
air_fraction_mean,0.0015415687803710667,0.0187364465582857,-0.017194877777914633,0.017194877777914633
brain_fraction_max,0.9973966254179724,0.9832650623628154,0.014131563055156948,0.014131563055156948
glcm_energy_max,0.9514765796471311,0.9403093933140361,0.011167186333094992,0.011167186333094992
csf_fraction_mean,0.03757468297643053,0.0466957959994265,-0.009121113022995966,0.009121113022995966
glcm_correlation_mean,0.9718730118432065,0.9628402747206176,0.009032737122588896,0.009032737122588896
high_hu_fraction_mean,0.051000930283902936,0.04588296088118425,0.005117969402718685,0.005117969402718685
glcm_homogeneity_max,0.967356888401033,0.9624068642910848,0.004950024109948159,0.004950024109948159
high_hu_fraction_max,0.2604781902981538,0.26540952467273005,-0.004931334374576268,0.004931334374576268
glcm_correlation_max,0.9824862607852739,0.9782654310882268,0.004220829697047068,0.004220829697047068
bone_fraction_max,0.0004699568994501,0.0007763523885334501,-0.0003063954890833501,0.0003063954890833501
bone_fraction_mean,7.126800028687635e-05,0.00015778695002520313,-8.651894973832678e-05,8.651894973832678e-05
