experiment,confound_status,n_patients,classifier,auc_mean,ci_lower,ci_upper,sensitivity,specificity,tn,fp,fn,tp
Exp1_Scanner_Baseline,CONFOUNDED,10,RuleBase,0.8,,,,,0,0,0,0
Exp2_Full_RandomForest,CONFOUNDED,10,RandomForest,0.874964341492956,0.52,1.0,1.0,0.8,4,1,0,5
Exp2_Full_XGBoost,CONFOUNDED,10,XGBoost,0.0,0.0,0.0,0.0,0.0,0,5,5,0
Exp2_Full_SVM,CONFOUNDED,10,SVM,0.5859075189647479,0.0,1.0,0.6,0.6,3,2,2,3
Exp3_RevOnly_RandomForest,REDUCED_CONFOUND,7,RandomForest,0.19824561403508772,0.0,0.6666666666666666,1.0,0.0,0,2,0,5
Exp3_RevOnly_XGBoost,REDUCED_CONFOUND,7,XGBoost,0.0,0.0,0.0,1.0,0.0,0,2,0,5
Exp3_RevOnly_SVM,REDUCED_CONFOUND,7,SVM,0.19685672514619884,0.0,0.6,0.8,0.0,0,2,1,4
Exp4_ScannerFingerprint_RF,CLEAN,5,RandomForest,0.8266630116959065,0.25,1.0,0.5,1.0,3,0,1,1
Exp5a_NormFull_RandomForest,CONFOUNDED_NORMALISED,10,RandomForest,0.874964341492956,0.52,1.0,1.0,0.8,4,1,0,5
Exp5a_NormFull_XGBoost,CONFOUNDED_NORMALISED,10,XGBoost,0.0,0.0,0.0,0.0,0.0,0,5,5,0
Exp5a_NormFull_SVM,CONFOUNDED_NORMALISED,10,SVM,0.5859075189647479,0.0,1.0,0.6,0.6,3,2,2,3
Exp5b_NormRevOnly_RandomForest,REDUCED_CONFOUND_NORMALISED,7,RandomForest,0.19824561403508772,0.0,0.6666666666666666,1.0,0.0,0,2,0,5
Exp5b_NormRevOnly_XGBoost,REDUCED_CONFOUND_NORMALISED,7,XGBoost,0.0,0.0,0.0,1.0,0.0,0,2,0,5
Exp5b_NormRevOnly_SVM,REDUCED_CONFOUND_NORMALISED,7,SVM,0.19685672514619884,0.0,0.6,0.8,0.0,0,2,1,4
Exp5c_NormScannerFP_RF,CLEAN_NORMALISED,5,RandomForest,0.8266630116959065,0.25,1.0,0.5,1.0,3,0,1,1
Exp6_Augmented_RandomForest,REDUCED_CONFOUND_SYNTHETIC,7,RandomForest,0.5421783625730995,0.0,1.0,1.0,0.0,0,2,0,5
Exp6_Augmented_XGBoost,REDUCED_CONFOUND_SYNTHETIC,7,XGBoost,0.0,0.0,0.0,1.0,0.0,0,2,0,5
Exp6_Augmented_SVM,REDUCED_CONFOUND_SYNTHETIC,7,SVM,0.0,0.0,0.0,1.0,0.0,0,2,0,5
